rank	category	year	title	doi	pmid	url	cytokines
1	core_self_secreting_or_armored_cytokine_cart	2021	Gene-Edited Interleukin CAR-T Cells Therapy in the Treatment of Malignancies: Present and Future	10.3389/fimmu.2021.718686		https://doi.org/10.3389/fimmu.2021.718686	IL-2,IL-7,IL-12,IL-15,IL-18
2	core_self_secreting_or_armored_cytokine_cart	2021	Gene-Edited Interleukin CAR-T Cells Therapy in the Treatment of Malignancies: Present and Future.	10.1172/JCI200523134	34386015	https://pubmed.ncbi.nlm.nih.gov/34386015/	IL-2,IL-7,IL-12,IL-15,IL-18
3	core_self_secreting_or_armored_cytokine_cart	2016	Multiparameter comparative analysis reveals differential impacts of various cytokines on CART cell phenotype and function <i>ex vivo</i> and <i>in vivo</i>	10.18632/oncotarget.10510		https://doi.org/10.18632/oncotarget.10510	IL-2,IL-7,IL-15,IL-18
4	core_self_secreting_or_armored_cytokine_cart	2021	Bispecific LV20.19 CAR T-Cells Expanded in IL-7 and IL-15 Have Greater Polyfunctionality and Polyfunctional Strength Than CAR T-Cells Expanded in IL-2	10.1182/blood-2021-146882		https://doi.org/10.1182/blood-2021-146882	IL-2,IL-7,IL-15
5	core_self_secreting_or_armored_cytokine_cart	2020	Glypican-3–Specific CAR T Cells Coexpressing IL15 and IL21 Have Superior Expansion and Antitumor Activity against Hepatocellular Carcinoma	10.1158/2326-6066.cir-19-0293		https://doi.org/10.1158/2326-6066.cir-19-0293	IL-2,IL-15
6	core_self_secreting_or_armored_cytokine_cart	2024	Updated results from first-in-human phase 1 dose-escalation trial of TAK-102, a GPC3-targeted armored CAR T cells, in patients with advanced solid tumors.	10.1200/jco.2024.42.16_suppl.2543		https://www.semanticscholar.org/paper/0a570bf7bb62f5c9f1c47e10c3e677ae80af8763	IL-7
7	core_self_secreting_or_armored_cytokine_cart	2023	GPC3-IL7-CCL19-CAR-T primes immune microenvironment reconstitution for hepatocellular carcinoma therapy	10.21203/rs.3.rs-2750902/v1		https://doi.org/10.21203/rs.3.rs-2750902/v1	IL-7
8	core_self_secreting_or_armored_cytokine_cart	2021	Off-the-shelf Vδ1 gamma delta T cells engineered with glypican-3 (GPC-3)-specific chimeric antigen receptor (CAR) and soluble IL-15 display robust antitumor efficacy against hepatocellular carcinoma	10.1136/jitc-2021-003441		https://doi.org/10.1136/jitc-2021-003441	IL-15
9	core_self_secreting_or_armored_cytokine_cart	2026	Abstract C007: A versatile microRNA-based platform for activation-dependent regulation of armored CAR T cell payloads	10.1158/2326-6074.io2026-c007		https://www.semanticscholar.org/paper/1506426b631219b5df8a76ceee1c2f11c53010c2	IL-12,IL-18
10	core_self_secreting_or_armored_cytokine_cart	2026	Antigen-induced IL-12 potentiates piggyBac-engineered HER2-CAR-T cells against gastric cancer.	10.1016/j.intimp.2026.116453	41785602	https://pubmed.ncbi.nlm.nih.gov/41785602/	IL-2,IL-12
