topic	rank	download_priority	category	score	year	title	doi	pmid	url	cytokines
core_armored_CART_multi_cytokine	1	1	core_self_secreting_or_armored_cytokine_cart	64	2021	Gene-Edited Interleukin CAR-T Cells Therapy in the Treatment of Malignancies: Present and Future	10.3389/fimmu.2021.718686		https://doi.org/10.3389/fimmu.2021.718686	IL-2,IL-7,IL-12,IL-15,IL-18
core_armored_CART_multi_cytokine	2	1	core_self_secreting_or_armored_cytokine_cart	64	2021	Gene-Edited Interleukin CAR-T Cells Therapy in the Treatment of Malignancies: Present and Future.	10.1172/JCI200523134	34386015	https://pubmed.ncbi.nlm.nih.gov/34386015/	IL-2,IL-7,IL-12,IL-15,IL-18
core_armored_CART_multi_cytokine	3	1	core_self_secreting_or_armored_cytokine_cart	62	2016	Multiparameter comparative analysis reveals differential impacts of various cytokines on CART cell phenotype and function <i>ex vivo</i> and <i>in vivo</i>	10.18632/oncotarget.10510		https://doi.org/10.18632/oncotarget.10510	IL-2,IL-7,IL-15,IL-18
core_armored_CART_multi_cytokine	4	1	core_self_secreting_or_armored_cytokine_cart	60	2021	Bispecific LV20.19 CAR T-Cells Expanded in IL-7 and IL-15 Have Greater Polyfunctionality and Polyfunctional Strength Than CAR T-Cells Expanded in IL-2	10.1182/blood-2021-146882		https://doi.org/10.1182/blood-2021-146882	IL-2,IL-7,IL-15
core_armored_CART_multi_cytokine	9	1	core_self_secreting_or_armored_cytokine_cart	58	2026	Abstract C007: A versatile microRNA-based platform for activation-dependent regulation of armored CAR T cell payloads	10.1158/2326-6074.io2026-c007		https://www.semanticscholar.org/paper/1506426b631219b5df8a76ceee1c2f11c53010c2	IL-12,IL-18
core_armored_CART_multi_cytokine	10	1	core_self_secreting_or_armored_cytokine_cart	58	2026	Antigen-induced IL-12 potentiates piggyBac-engineered HER2-CAR-T cells against gastric cancer.	10.1016/j.intimp.2026.116453	41785602	https://pubmed.ncbi.nlm.nih.gov/41785602/	IL-2,IL-12
core_armored_CART_multi_cytokine	11	1	core_self_secreting_or_armored_cytokine_cart	58	2026	Single-day nonactivated IL-18-armed CAR T cells establish a durable, stemlike state with enhanced persistence.	10.1182/blood.2026033460	41990270	https://pubmed.ncbi.nlm.nih.gov/41990270/	IL-7,IL-18
core_armored_CART_multi_cytokine	12	1	core_self_secreting_or_armored_cytokine_cart	58	2025	GPC2-Targeted CAR T Cells Engineered with NFAT-Inducible Membrane-Tethered IL15/IL21 Exhibit Enhanced Activity against Neuroblastoma.	10.1016/j.ccell.2022.11.006	40569285	https://pubmed.ncbi.nlm.nih.gov/40569285/	IL-2,IL-15
core_armored_CART_multi_cytokine	13	1	core_self_secreting_or_armored_cytokine_cart	58	2024	A Phase 1 Study to Evaluate the Safety and Tolerability of a Combination Autologous CD19 CAR T Cell Therapy (SYNCAR-001) and Orthogonal IL-2 (STK-009) in Subjects with Relapsed or Refractory CD19 Expressing Hematologic Malignancies (NCT05665062)	10.1182/blood-2024-202090		https://doi.org/10.1182/blood-2024-202090	IL-2,IL-15
core_armored_CART_multi_cytokine	15	1	core_self_secreting_or_armored_cytokine_cart	58	2022	Development of Nectin4/FAP-targeted CAR-T cells secreting IL-7, CCL19, and IL-12 for malignant solid tumors	10.3389/fimmu.2022.958082		https://doi.org/10.3389/fimmu.2022.958082	IL-7,IL-12
core_armored_CART_multi_cytokine	16	1	core_self_secreting_or_armored_cytokine_cart	58	2022	Development of Nectin4/FAP-targeted CAR-T cells secreting IL-7, CCL19, and IL-12 for malignant solid tumors.	10.1158/0008-5472.CAN-14-3041	36479116	https://pubmed.ncbi.nlm.nih.gov/36479116/	IL-7,IL-12
core_armored_CART_multi_cytokine	17	1	core_self_secreting_or_armored_cytokine_cart	58	2022	Interleukin 15 in Cell-Based Cancer Immunotherapy	10.3390/ijms23137311		https://doi.org/10.3390/ijms23137311	IL-2,IL-15
core_armored_CART_multi_cytokine	18	1	core_self_secreting_or_armored_cytokine_cart	58	2022	Co-expression IL-15 receptor alpha with IL-15 reduces toxicity via limiting IL-15 systemic exposure during CAR-T immunotherapy	10.1186/s12967-022-03626-x		https://doi.org/10.1186/s12967-022-03626-x	IL-2,IL-15
core_armored_CART_multi_cytokine	19	1	core_self_secreting_or_armored_cytokine_cart	58	2021	Co-Expression of an shRNA Targeting MICA/Micb Improves the Clinical Activity of a NKG2D-Based CAR T in Patients with Relapsed / Refractory AML/MDS	10.1182/blood-2021-152413		https://doi.org/10.1182/blood-2021-152413	IL-7,IL-15
core_armored_CART_multi_cytokine	21	1	core_self_secreting_or_armored_cytokine_cart	58	2021	IL-7 and CCR2b Co-Expression-Mediated Enhanced CAR-T Survival and Infiltration in Solid Tumors	10.3389/fonc.2021.734593		https://doi.org/10.3389/fonc.2021.734593	IL-2,IL-7
core_armored_CART_multi_cytokine	22	1	core_self_secreting_or_armored_cytokine_cart	58	2010	Selective Expansion of Chimeric Antigen Receptor-targeted T-cells with Potent Effector Function using Interleukin-4	10.1074/jbc.m110.127951		https://doi.org/10.1074/jbc.m110.127951	IL-2,IL-15
