condition,replicate,returncode,reported_seed,time_min,live_tumor_count,live_cart_count,mean_cart_activation,mean_cart_exhaustion,mean_aux_cytokine,mean_IFNg,mean_tumor_PDL1,tumor_remaining_fraction,metrics_csv
il_12,1,0,820106420,1.4400000000e+03,1606,692,4.3013499805e-01,4.6679780950e-01,1.1213529920e-01,3.3420952332e-02,5.0106857742e-02,8.0300000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_12\replicate_01\metrics.csv
il_12,2,0,2717999247,1.4400000000e+03,1532,733,3.9251858554e-01,4.4915273398e-01,1.1027342024e-01,3.3251950639e-02,5.5951662357e-02,7.6600000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_12\replicate_02\metrics.csv
il_12,3,0,372292339,1.4400000000e+03,1620,691,4.4179356899e-01,4.6470213713e-01,1.1368998421e-01,3.4005794245e-02,5.0723173419e-02,8.1000000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_12\replicate_03\metrics.csv
il_15,1,0,2663739723,1.4400000000e+03,1337,1015,3.9480807495e-01,4.0603957974e-01,2.2765557070e-01,4.7815398332e-02,7.7623989288e-02,6.6850000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_15\replicate_01\metrics.csv
il_15,2,0,471204982,1.4400000000e+03,1383,963,4.1077474512e-01,4.1761527332e-01,2.3283197745e-01,4.8306544551e-02,7.5921602000e-02,6.9150000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_15\replicate_02\metrics.csv
il_15,3,0,3419194680,1.4400000000e+03,1399,1005,3.9181953309e-01,4.1198475190e-01,2.3169552306e-01,4.9340416537e-02,7.4801405198e-02,6.9950000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_15\replicate_03\metrics.csv
il_18,1,0,3700617325,1.4400000000e+03,1472,867,4.0538602411e-01,4.3828056652e-01,2.0565562098e-01,4.1536217051e-02,6.7603561071e-02,7.3600000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_18\replicate_01\metrics.csv
il_18,2,0,1830260252,1.4400000000e+03,1466,847,3.6884085030e-01,4.2474362459e-01,2.0081914584e-01,3.9827316869e-02,6.2123925275e-02,7.3300000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_18\replicate_02\metrics.csv
il_18,3,0,2505440237,1.4400000000e+03,1445,847,4.1131046999e-01,4.3643049179e-01,2.0069098998e-01,4.0065573410e-02,5.9824806976e-02,7.2250000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_18\replicate_03\metrics.csv
il_2,1,0,3677372824,1.4400000000e+03,1667,773,4.3333828965e-01,4.7995260109e-01,1.1445229112e-01,3.4839572302e-02,5.1017318876e-02,8.3350000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_2\replicate_01\metrics.csv
il_2,2,0,443931324,1.4400000000e+03,1680,695,4.2430240199e-01,4.9375246190e-01,1.1260082629e-01,3.3364963042e-02,5.0070821436e-02,8.4000000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_2\replicate_02\metrics.csv
il_2,3,0,2565310317,1.4400000000e+03,1637,759,4.2672697931e-01,4.8771349032e-01,1.1227368334e-01,3.3846340482e-02,5.0645505709e-02,8.1850000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_2\replicate_03\metrics.csv
il_7,1,0,3937188701,1.4400000000e+03,1618,887,4.0784956813e-01,4.5706035256e-01,1.9795375370e-01,3.7320570970e-02,4.9436752396e-02,8.0900000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_7\replicate_01\metrics.csv
il_7,2,0,19793084,1.4400000000e+03,1577,949,3.9515534400e-01,4.5793567183e-01,1.9831801510e-01,3.8781729400e-02,5.3522612681e-02,7.8850000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_7\replicate_02\metrics.csv
il_7,3,0,4067494572,1.4400000000e+03,1617,872,3.8150021984e-01,4.5685879481e-01,1.9384315387e-01,3.5658642913e-02,5.0947064924e-02,8.0850000000e-01,outputs\autoresearch_gpt4o_mini_fingerprint_v3\physicell_runs_low_antigen_0p2\round1_pre_refine_replicates3\il_7\replicate_03\metrics.csv
